Khoi tao x20 va y403083112730196
tai k=403083112730196  co x=20
tai k=201541556365098  co x=400
tai k=100770778182549  co x=160000
tai k=50385389091274  co x=412540232
tai k=25192694545637  co x=697357718
tai k=12596347272818  co x=116585444
tai k=6298173636409  co x=297486943
tai k=3149086818204  co x=516572474
tai k=1574543409102  co x=217460332
tai k=787271704551  co x=610284425
tai k=393635852275  co x=958390097
tai k=196817926137  co x=220337385
tai k=98408963068  co x=966343697
tai k=49204481534  co x=818884378
tai k=24602240767  co x=392981484
tai k=12301120383  co x=49268959
tai k=6150560191  co x=704590401
tai k=3075280095  co x=470897097
tai k=1537640047  co x=294169881
tai k=768820023  co x=267088832
tai k=384410011  co x=919998464
tai k=192205005  co x=525379407
tai k=96102502  co x=548940385
tai k=48051251  co x=846461121
tai k=24025625  co x=829237456
tai k=12012812  co x=738647801
tai k=6006406  co x=741438848
tai k=3003203  co x=820920320
tai k=1501601  co x=268435456
tai k=750800  co x=0
tai k=375400  co x=0
tai k=187700  co x=0
tai k=93850  co x=0
tai k=46925  co x=0
tai k=23462  co x=0
tai k=11731  co x=0
tai k=5865  co x=0
tai k=2932  co x=0
tai k=1466  co x=0
tai k=733  co x=0
tai k=366  co x=0
tai k=183  co x=0
tai k=91  co x=0
tai k=45  co x=0
tai k=22  co x=0
tai k=11  co x=0
tai k=5  co x=0
tai k=2  co x=0
tai k=1  co x=0
